City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Mackay,AU,-21.15,149.2,44.6,87,28,3.36,scattered clouds
266,Kolyshley,RU,52.7,44.54,68.0,46,15,2.71,few clouds
267,Kimbe,PG,-5.55,150.14,73.38,93,100,1.95,moderate rain
268,Ponta Do Sol,PT,32.67,-17.1,80.01,67,0,2.93,clear sky
269,Uyar,RU,55.81,94.32,55.85,74,75,5.1,broken clouds
270,Vardo,NO,70.37,31.11,57.2,87,92,14.99,overcast clouds
271,Rudnichnyy,RU,59.62,52.47,55.33,94,5,1.72,clear sky
272,Palimbang,PH,6.21,124.19,79.05,78,31,4.99,scattered clouds
273,Portland,US,45.52,-122.68,70.0,63,1,4.7,clear sky
274,Avera,US,33.19,-82.53,82.99,100,90,16.11,heavy intensity rain
275,Teya,RU,60.38,92.63,50.58,88,20,2.37,few clouds
276,San Luis Jilotepeque,GT,14.65,-89.73,78.8,78,20,2.21,few clouds
277,Hukuntsi,BW,-24.0,21.75,60.6,41,0,5.48,clear sky
278,Gazojak,TM,41.19,61.4,87.78,24,22,17.69,few clouds
279,Tambura,SS,5.6,27.47,70.54,95,100,5.06,light rain
280,Nizhniy Kuranakh,RU,58.84,125.49,40.5,74,0,1.48,clear sky
281,Kysyl-Syr,RU,63.9,122.76,39.87,80,0,5.7,clear sky
282,Cherat,PK,33.82,71.89,89.6,62,20,6.93,haze
283,Evans,US,33.53,-82.13,90.0,66,40,3.36,scattered clouds
284,Great Falls,US,47.5,-111.3,80.01,23,1,5.82,clear sky
285,Nicolas Bravo,MX,18.45,-88.92,87.8,74,75,9.17,broken clouds
286,Torbay,CA,47.67,-52.73,72.0,46,20,10.29,few clouds
287,North Battleford,CA,52.78,-108.28,71.01,60,90,9.17,overcast clouds
288,Wonthaggi,AU,-38.6,145.59,45.0,95,71,10.0,light rain
289,Goderich,CA,43.75,-81.72,87.01,78,18,8.75,few clouds
290,Jasper,US,37.2,-94.35,88.0,48,1,11.41,clear sky
291,Kant,IN,27.8,79.8,80.69,78,7,6.78,clear sky
292,Yei,SS,4.09,30.68,68.0,93,71,2.95,light rain
293,Muros,ES,42.78,-9.06,77.0,63,3,13.0,clear sky
294,Pareora,NZ,-44.49,171.21,50.0,97,99,6.24,light rain
295,Nanortalik,GL,60.14,-45.24,47.46,78,3,3.36,clear sky
296,Byron Bay,AU,-28.65,153.62,51.01,58,0,6.93,clear sky
297,Tomatlan,MX,19.93,-105.25,90.0,63,48,5.97,scattered clouds
298,Santa Fe,AR,-31.63,-60.7,73.0,29,0,8.01,clear sky
299,Nikolskoye,RU,59.7,30.79,64.4,77,90,6.71,overcast clouds
300,Souillac,MU,-20.52,57.52,71.6,73,20,17.22,few clouds
301,Namatanai,PG,-3.67,152.43,77.38,87,99,3.36,moderate rain
302,Talnakh,RU,69.49,88.4,59.0,82,100,11.18,overcast clouds
303,Artyom,AZ,40.47,50.33,69.8,64,20,13.87,few clouds
304,Longyearbyen,SJ,78.22,15.64,46.4,61,20,8.05,few clouds
305,Fereydun Kenar,IR,36.69,52.52,73.4,88,90,6.93,overcast clouds
306,Sendenhorst,DE,51.83,7.83,66.0,77,54,4.0,broken clouds
307,Aksu,CN,41.12,80.26,81.32,23,0,7.23,clear sky
308,Port Lincoln,AU,-34.73,135.87,47.03,82,56,2.75,broken clouds
309,Dmitriyevskoye,RU,45.81,41.9,65.68,43,49,8.03,scattered clouds
310,Voh,NC,-20.97,164.7,67.68,83,41,3.83,scattered clouds
311,Mackenzie,CA,55.3,-123.17,55.4,66,1,9.17,clear sky
312,Zhmerynka,UA,49.04,28.11,77.0,47,1,4.47,clear sky
313,Marsh Harbour,BS,26.54,-77.06,86.34,76,41,21.23,scattered clouds
314,Anuradhapura,LK,8.36,80.42,77.99,82,0,7.31,clear sky
315,Amapa,BR,1.0,-52.0,93.52,39,24,4.16,few clouds
316,Price,US,39.6,-110.81,82.4,23,1,8.05,clear sky
317,Kalaleh,IR,37.38,55.49,77.0,73,75,13.87,broken clouds
318,Charters Towers,AU,-20.1,146.27,51.76,43,13,6.22,few clouds
319,New Amsterdam,GY,6.25,-57.52,89.47,56,38,7.72,scattered clouds
320,Miles City,US,46.41,-105.84,75.2,33,1,12.75,clear sky
321,Port Hardy,CA,50.7,-127.42,53.6,93,90,2.24,overcast clouds
322,Ulaangom,MN,49.98,92.07,56.46,65,91,3.2,overcast clouds
323,Octeville,FR,49.63,-1.64,64.99,77,90,14.99,overcast clouds
324,Kariba,ZW,-16.52,28.8,67.89,52,38,3.36,scattered clouds
325,Walvis Bay,NA,-22.96,14.51,78.8,22,0,3.36,clear sky
326,Ballina,AU,-28.87,153.57,51.01,60,0,6.93,clear sky
327,Starokozache,UA,46.34,29.99,71.6,64,0,4.47,clear sky
328,Rongcheng,CN,30.63,117.85,79.34,80,0,2.89,clear sky
329,Cam Ranh,VN,11.92,109.16,82.4,88,20,2.24,few clouds
330,Severo-Kurilsk,RU,50.68,156.12,51.53,72,94,3.94,overcast clouds
331,Bairiki,KI,1.33,172.98,80.6,78,40,4.7,scattered clouds
332,Makat,KZ,47.65,53.35,73.6,36,51,8.99,broken clouds
333,Upernavik,GL,72.79,-56.15,44.58,84,83,8.95,broken clouds
334,Marfino,RU,55.7,37.38,68.0,63,90,6.71,overcast clouds
